what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ant.core,3.2.100.v20090817_r351,"org.eclipse.ant.core",1271975417878
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1271975418570
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1271975420253
started,bundle,org.eclipse.pde.build,3.5.1.R35x_20090820,"org.eclipse.pde.build",1271975420658
started,bundle,org.eclipse.mylyn.wikitext.core,1.2.0.v20091215-0000-e3x,"org.eclipse.mylyn.wikitext.core",1271975420732
started,bundle,org.eclipse.emf.ant,2.4.0.v200906151043,"org.eclipse.emf.ant",1271975420733
started,bundle,org.eclipse.help.base,3.4.0.v200909170800,"org.eclipse.help.base",1271975420754
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1271975420758
opened,editor,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui.internal.editor.AntEditor",1271975421465
activated,editor,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui.internal.editor.AntEditor",1271975421821
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975424542
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975431863
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975441963
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975447489
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271975453378
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1271975459316
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1271975459477
executed,command,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui.antShortcut.run",1271975459555
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1271975459592
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271975462812
executed,command,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui.antShortcut.run",1271975470120
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271975485998
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975491804
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271975495119
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1271975495135
