what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1271976502820
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1271976502820
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1271976502821
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1271976502831
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1271976502832
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.ui",1271976502833
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1271976502833
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1271976502836
started,bundle,org.eclipse.mylyn.context.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.core",1271976502839
started,bundle,org.eclipse.mylyn.context.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.context.ui",1271976502841
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1271976502842
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1271976502843
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1271976502844
os,sysinfo,,,"win32",1271976502849
arch,sysinfo,,,"x86",1271976502849
ws,sysinfo,,,"win32",1271976502849
locale,sysinfo,,,"en_US",1271976502849
processors,sysinfo,,,"2",1271976502849
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271976502849
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1271976502849
java.specification.name,sysinfo,,,"Java Platform API Specification",1271976502849
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271976502849
java.specification.version,sysinfo,,,"1.6",1271976502849
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271976502849
java.version,sysinfo,,,"1.6.0_19",1271976502849
